"soilTypeId";"soilTypeCode";"soilType";"soilTypeLabel"
"419";"CR_N";"Norm-Terra rossa";"    Norm-Terra rossa"
"420";"D";"Pelosole";"Pelosole"
"421";"DD";"Pelosol";"  Pelosol"
"422";"DD_C";"Kalkpelosol";"    Kalkpelosol"
"423";"DD_H";"Humuspelosol";"    Humuspelosol"
"424";"DD_N";"Normpelosol";"    Normpelosol"
"425";"DDBB";"Pelosol-Braunerde";"    Pelosol-Braunerde"
"426";"DDGG";"Pelosol-Gley";"    Pelosol-Gley"
"427";"DDLL";"Pelosol-Parabraunerde";"    Pelosol-Parabraunerde"
"428";"DDRR";"Pelosol-Rendzina";"    Pelosol-Rendzina"
"429";"DDRZ";"Pelosol-Pararendzina";"    Pelosol-Pararendzina"
"430";"DDSS";"Pelosol-Pseudogley";"    Pelosol-Pseudogley"
"431";"DDTC";"Pelosol-Kalktschernosem";"    Pelosol-Kalktschernosem"
"432";"DDTT";"Pelosol-Tschernosem";"    Pelosol-Tschernosem"
"433";"F";"O/C-Böden";"O/C-Böden"
"434";"FF";"Felshumusboden";"  Felshumusboden"
"435";"FF_N";"Normfelshumusboden";"    Normfelshumusboden"
"436";"FS";"Skeletthumusboden";"  Skeletthumusboden"
"437";"FS_N";"Normskeletthumusboden";"    Normskeletthumusboden"
"438";"G";"Gleye";"Gleye"
"439";"GG";"Gley";"  Gley"
"440";"GG_A";"Auengley";"    Auengley"
"441";"GG_C";"Kalkgley";"    Kalkgley"
"442";"GG_E";"Brauneisengley";"    Brauneisengley"
"443";"GG_G";"Hanggley";"    Hanggley"
"444";"GG_H";"Humusgley";"    Humusgley"
"445";"GG_I";"Bleichgley";"    Bleichgley"
"446";"GG_N";"Normgley";"    Normgley"
"447";"GG_Q";"Quellengley";"    Quellengley"
"448";"GG_W";"Wechselgley";"    Wechselgley"
"449";"GG_X";"Oxigley";"    Oxigley"
"450";"GGAB";"Gley-Vega";"    Gley-Vega"
"451";"GGAO";"Gley-Rambla";"    Gley-Rambla"
"452";"GGAQ";"Gley-Paternia";"    Gley-Paternia"
"453";"GGAT";"Gley-Tschernitza";"    Gley-Tschernitza"
"454";"GGAZ";"Gley-Kalkpaternia";"    Gley-Kalkpaternia"
"455";"GGBB";"Gley-Braunerde";"    Gley-Braunerde"
"456";"GGDD";"Gley-Pelosol";"    Gley-Pelosol"
"457";"GGLF";"Gley-Fahlerde";"    Gley-Fahlerde"
"458";"GGLL";"Gley-Parabraunerde";"    Gley-Parabraunerde"
"459";"GGPP";"Gley-Podsol";"    Gley-Podsol"
"460";"GGRQ";"Gley-Regosol";"    Gley-Regosol"
"461";"GGRR";"Gley-Rendzina";"    Gley-Rendzina"
"462";"GGRZ";"Gley-Pararendzina";"    Gley-Pararendzina"
"463";"GGSG";"Gley-Stagnogley";"    Gley-Stagnogley"
"464";"GGSH";"Gley-Haftnässepseudogley";"    Gley-Haftnässepseudogley"
"465";"GGSS";"Gley-Pseudogley";"    Gley-Pseudogley"
"466";"GGTC";"Gley-Kalktschernosem";"    Gley-Kalktschernosem"
"467";"GGTT";"Gley-Tschernosem";"    Gley-Tschernosem"
"468";"GGYE";"Gley-Plaggenesch";"    Gley-Plaggenesch"
"469";"GGYK";"Gley-Kolluvisol";"    Gley-Kolluvisol"
"470";"GGYO";"Gley-Hortisol";"    Gley-Hortisol"
"471";"GGYU";"Treposol aus Gley";"    Treposol aus Gley"
"472";"GGYY";"Gley-Rigosol";"    Gley-Rigosol"
"473";"GH";"Moorgley";"  Moorgley"
"474";"GH_G";"Hangmoorgley";"    Hangmoorgley"
"475";"GH_H";"Hochmoorgley";"    Hochmoorgley"
"476";"GH_N";"Niedermoorgley";"    Niedermoorgley"
"477";"GH_Q";"Quellenmoorgley";"    Quellenmoorgley"
"478";"GM";"Anmoorgley";"  Anmoorgley"
"479";"GM_C";"Kalkanmoorgley";"    Kalkanmoorgley"
"480";"GM_G";"Hanganmoorgley";"    Hanganmoorgley"
"481";"GM_N";"Normanmoorgley";"    Normanmoorgley"
"482";"GM_Q";"Quellenanmoorgley";"    Quellenanmoorgley"
"483";"GN";"Naßgley";"  Naßgley"
"484";"GN_C";"Kalknassgley";"    Kalknassgley"
"485";"GN_G";"Hang- Naßgley";"    Hang- Naßgley"
"486";"GN_H";"Humus-Naßgley";"    Humus-Naßgley"
"487";"GN_N";"Normnaßgley";"    Normnaßgley"
"488";"GN_Q";"Quellennassgley";"    Quellennassgley"
"489";"H";"Natürliche Moore";"Natürliche Moore"
"490";"HH";"Hochmoor";"  Hochmoor"
"491";"HH_N";"Normhochmoor";"    Normhochmoor"
"492";"HHGH";"Hochmoorgley";"    Hochmoorgley"
"493";"HHSG";"Hochmoor-Stagnogley";"    Hochmoor-Stagnogley"
"494";"HHSS";"Hochmoor-Pseudogley";"    Hochmoor-Pseudogley"
"495";"HHYU";"Treposol aus Hochmoor";"    Treposol aus Hochmoor"
"496";"HN";"Niedermoor";"  Niedermoor"
